16.4518,30.6032,60.7838,32.6763
16.6504,18.2667,60.0586,54.7444
16.6333,17.2071,60.1204,58.1155
16.639,17.2186,60.0998,58.0767
16.7254,19.8012,59.7894,50.502
16.6053,19.2606,60.2217,51.9195
16.6334,17.1684,60.1198,58.2465
16.6764,18.6723,59.9649,53.5553
16.7251,19.0946,59.7904,52.3708
16.626,18.7418,60.1467,53.3567
16.6143,17.7377,60.189,56.3771
16.6399,18.4707,60.0966,54.1398
2844.12,2844.12,0.351603,0.351603
102.758,1731.46,9.73159,0.577547
16.5956,16.9714,60.2569,58.9227
28.1785,348.553,35.4881,2.86901
16.614,19.5635,60.1903,51.1156
16.6684,17.405,59.9937,57.4548
16.6519,17.0576,60.0531,58.6249
16.7199,18.0836,59.8089,55.2987
16.6375,17.8137,60.1051,56.1366
16.6134,17.5986,60.1924,56.8227
16.6492,18.8283,60.0629,53.1115
16.6568,18.1757,60.0354,55.0185
366.487,1064.41,2.72861,0.939484
16.6847,18.0346,59.9352,55.449
16.6522,17.1774,60.0523,58.216
16.6396,17.8165,60.0975,56.1277
16.7152,18.127,59.8259,55.1663
23.3565,217.453,42.8146,4.5987
16.6282,17.5396,60.1387,57.0138
16.591,17.2381,60.2736,58.011
16.6502,18.3966,60.0593,54.3579
16.7536,18.8382,59.6888,53.0836
16.6565,17.9237,60.0368,55.7921
